id,density
17001,78.5
17003,35
17005,46.7
17007,193
17009,22.7
17011,40.2
17013,20
17015,34.6
17017,36.3
17019,201.8
17021,49.1
17023,32.6
17025,29.5
17027,79.7
17029,106
17031,5495.1
17033,44.7
17035,31.9
17037,166.6
17039,41.7
17041,48
17043,2799.8
17045,29.8
17047,30.2
17049,71.5
17051,30.9
17053,29
17055,96.8
17057,42.8
17059,17.3
17061,25.6
17063,119.8
17065,19.5
17067,24.1
17069,24.3
17071,19.3
17073,61.3
17075,26.6
17077,103.1
17079,19.6
17081,68
17083,62.2
17085,37.7
17087,36.6
17089,990.8
17091,167.7
17093,358.2
17095,73.9
17097,1585.6
17099,100.4
17101,45.2
17103,49.7
17105,37.3
17107,49
17109,55.3
17111,511.9
17113,143.3
17115,190.8
17117,55.4
17119,376.3
17121,68.9
17123,32.7
17125,27.2
17127,65
17129,40.4
17131,29.3
17133,85.6
17135,42.8
17137,62.5
17139,44.2
17141,70.5
17143,301.2
17145,50.6
17147,38.1
17149,19.8
17151,12.1
17153,30.9
17155,37.5
17157,58.2
17159,45.1
17161,345
17163,410.6
17165,65.6
17167,227.4
17169,17.3
17171,21.3
17173,29.5
17175,20.8
17177,84.5
17179,208.6
17181,43.1
17183,90.9
17185,53.5
17187,32.6
17189,26.2
17191,23.5
17193,29.6
17195,85.5
17197,809.6
17199,157.9
17201,575.2
17203,73.3
